Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,
Statement,Data,BrokerAddress,
Statement,Data,Title,Activity Statement
Statement,Data,Period,"December 11, 2023 - December 6, 2024"
Statement,Data,WhenGenerated,"2024-12-08, 01:00:05 EST"
Dividends,Header,Currency,Date,Description,Amount
Withholding Tax,Data,USD,2024-02-28,DON(US97717W5058) Cash Dividend USD 0.06 per Share - US Tax,-0.54,
Withholding Tax,Data,USD,2024-03-20,VWO(US9220428588) Cash Dividend USD 0.0385 per Share - US Tax,-0.14,
Withholding Tax,Data,USD,2024-03-21,VLU(US78464A1280) Cash Dividend USD 0.789529 per Share - US Tax,-3.55,
Withholding Tax,Data,USD,2024-03-22,DFAE(US25434V3024) Cash Dividend USD 0.030238 per Share - US Tax,-0.09,
Withholding Tax,Data,USD,2024-03-22,DFAI(US25434V2034) Cash Dividend USD 0.04818 per Share - US Tax,-0.16,
Withholding Tax,Data,USD,2024-03-22,DFAS(US25434V5003) Cash Dividend USD 0.096105 per Share - US Tax,-0.16,
Withholding Tax,Data,USD,2024-03-22,DFAT(US25434V6092) Cash Dividend USD 0.105732 per Share - US Tax,-1.08,
Withholding Tax,Data,USD,2024-03-22,DFIV(US25434V8072) Cash Dividend USD 0.085876 per Share - US Tax,-0.37,
Withholding Tax,Data,USD,2024-03-22,DFUS(US25434V4014) Cash Dividend USD 0.117882 per Share - US Tax,-0.39,
Withholding Tax,Data,USD,2024-03-26,VBR(US9229086114) Cash Dividend USD 0.9425 per Share - US Tax,-0.99,
Withholding Tax,Data,USD,2024-03-27,DON(US97717W5058) Cash Dividend USD 0.17 per Share - US Tax,-1.53,
Withholding Tax,Data,USD,2024-03-27,IJS(US4642878791) Cash Dividend USD 0.364509 per Share - US Tax,-1.09,
Withholding Tax,Data,USD,2024-03-27,ISCV(US4642887032) Cash Dividend USD 0.255582 per Share - US Tax,-3.07,
Withholding Tax,Data,USD,2024-04-29,DON(US97717W5058) Cash Dividend USD 0.055 per Share - US Tax,-0.5,
Withholding Tax,Data,USD,2024-05-30,DON(US97717W5058) Cash Dividend USD 0.055 per Share - US Tax,-0.5,
Withholding Tax,Data,USD,2024-06-17,IEMG(US46434G1031) Cash Dividend USD 0.509491 per Share - US Tax,-1.53,
Withholding Tax,Data,USD,2024-06-17,IJS(US4642878791) Cash Dividend USD 0.469531 per Share - US Tax,-1.41,
Withholding Tax,Data,USD,2024-06-17,ISCV(US4642887032) Cash Dividend USD 0.262431 per Share - US Tax,-3.15,
Withholding Tax,Data,USD,2024-06-20,DFAE(US25434V3024) Cash Dividend USD 0.178902 per Share - US Tax,-0.51,
Withholding Tax,Data,USD,2024-06-20,DFAI(US25434V2034) Cash Dividend USD 0.381862 per Share - US Tax,-1.26,
Withholding Tax,Data,USD,2024-06-20,DFAS(US25434V5003) Cash Dividend USD 0.167387 per Share - US Tax,-0.25,
Withholding Tax,Data,USD,2024-06-20,DFAS(US25434V5003) Payment in Lieu of Dividend - US Tax,-0.03,
Withholding Tax,Data,USD,2024-06-20,DFAT(US25434V6092) Cash Dividend USD 0.210318 per Share - US Tax,-2.15,
Withholding Tax,Data,USD,2024-06-20,DFIV(US25434V8072) Cash Dividend USD 0.706817 per Share - US Tax,-3.08,
Withholding Tax,Data,USD,2024-06-20,DFUS(US25434V4014) Cash Dividend USD 0.161316 per Share - US Tax,-0.53,
Withholding Tax,Data,USD,2024-06-25,VWO(US9220428588) Cash Dividend USD 0.1704 per Share - US Tax,-0.64,
Withholding Tax,Data,USD,2024-06-26,AVDV(US0250728021) Cash Dividend USD 1.1838 per Share - US Tax,-17.76,
Withholding Tax,Data,USD,2024-06-26,VLU(US78464A1280) Payment in Lieu of Dividend - US Tax,-1.44,
Withholding Tax,Data,USD,2024-06-26,VLU(US78464A1280) Cash Dividend USD 0.956592 per Share - US Tax,-2.87,
Withholding Tax,Data,USD,2024-06-27,DON(US97717W5058) Cash Dividend USD 0.18 per Share - US Tax,-1.62,
Withholding Tax,Data,USD,2024-06-28,SPEM(US78463X5095) Cash Dividend USD 0.4514 per Share - US Tax,-2.03,
Withholding Tax,Data,USD,2024-07-01,SCHC(US8085248883) Cash Dividend USD 0.1077 per Share - US Tax,-0.48,
Withholding Tax,Data,USD,2024-07-01,SCHE(US8085247067) Cash Dividend USD 0.0343 per Share - US Tax,-0.18,
Withholding Tax,Data,USD,2024-07-01,VBR(US9229086114) Cash Dividend USD 1.0165 per Share - US Tax,-1.07,
Withholding Tax,Data,USD,2024-07-30,DON(US97717W5058) Cash Dividend USD 0.055 per Share - US Tax,-0.5,
Withholding Tax,Data,USD,2024-08-29,DON(US97717W5058) Cash Dividend USD 0.10 per Share - US Tax,-0.9,
Withholding Tax,Data,USD,2024-09-19,DFAE(US25434V3024) Cash Dividend USD 0.238638 per Share - US Tax,-0.68,
Withholding Tax,Data,USD,2024-09-19,DFAI(US25434V2034) Cash Dividend USD 0.136325 per Share - US Tax,-0.39,
Withholding Tax,Data,USD,2024-09-19,DFAI(US25434V2034) Payment in Lieu of Dividend - US Tax,-0.06,
Withholding Tax,Data,USD,2024-09-19,DFAS(US25434V5003) Cash Dividend USD 0.162438 per Share - US Tax,-0.27,
Withholding Tax,Data,USD,2024-09-19,DFAT(US25434V6092) Cash Dividend USD 0.200498 per Share - US Tax,-2.04,
Withholding Tax,Data,USD,2024-09-19,DFIV(US25434V8072) Cash Dividend USD 0.23519 per Share - US Tax,-1.02,
Withholding Tax,Data,USD,2024-09-19,DFUS(US25434V4014) Cash Dividend USD 0.154737 per Share - US Tax,-0.51,
Withholding Tax,Data,USD,2024-09-24,VWO(US9220428588) Cash Dividend USD 0.1344 per Share - US Tax,-0.5,
Withholding Tax,Data,USD,2024-09-25,VLU(US78464A1280) Cash Dividend USD 0.937467 per Share - US Tax,-1.69,
Withholding Tax,Data,USD,2024-09-25,VLU(US78464A1280) Payment in Lieu of Dividend - US Tax,-2.53,
Withholding Tax,Data,USD,2024-09-27,DON(US97717W5058) Cash Dividend USD 0.135 per Share - US Tax,-1.22,
Withholding Tax,Data,USD,2024-09-30,IJS(US4642878791) Cash Dividend USD 0.564942 per Share - US Tax,-1.7,
Withholding Tax,Data,USD,2024-09-30,ISCV(US4642887032) Cash Dividend USD 0.377582 per Share - US Tax,-4.53,
Withholding Tax,Data,USD,2024-09-30,VBR(US9229086114) Cash Dividend USD 0.87 per Share - US Tax,-0.91,
Withholding Tax,Data,USD,2024-10-30,DON(US97717W5058) Cash Dividend USD 0.065 per Share - US Tax,-0.59,
Withholding Tax,Data,USD,2024-11-27,DON(US97717W5058) Cash Dividend USD 0.11 per Share - US Tax,-0.99,
Withholding Tax,Data,Total,,,-127.2,
Withholding Tax,Data,Total in EUR,,,-116.7928588,
